name,type,position0,position1,position2,house_type,area,total_price,unit_price
大兴新天地,商业,大兴,南中轴机场商务区,南六环孙村出口南行1200米（南中轴路西侧）,,,200,50000
燕西华府,低密住宅,丰台,丰台其它,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",3室,350.0,1800,47000
京西悦府,住宅,房山,阎村,燕房线阎村地铁站东南角约189米,3室,96.0,410,33000
福景苑,住宅,朝阳,燕莎,亮马桥路46号,2室,145.0,1700,83000
合景寰汇公馆,住宅,通州,武夷花园,北京市通州区滨河中路西侧（合景寰汇公馆）,2室,75.0,280,35000
K2十里春风,住宅,通州,通州其它,北京市通州区,2室,80.0,140,17500
K2十里春风,低密住宅,通州,通州其它,北京市通州区,3室,155.0,410,26500
房山超级蜂巢,商业,房山,良乡,苏庄地铁站往南700米超级蜂巢售楼处,,,200,30000
玺萌壹號院,低密住宅,丰台,草桥,西南三环嘉园路与镇国寺北街交叉口,5室,320.0,3650,90000
金隅上城郡,低密住宅,昌平,北七家,北亚花园东路50米,4室,212.0,920,40000
泰禾西府大院,住宅,丰台,丽泽,西三环丽泽桥西北角，玉璞公园东侧,4室,167.0,3400,150000
燕西华府,住宅,丰台,丰台其它,"王佐镇青龙湖公园东1500米,",3室,60.0,520,50000
水岸壹号,住宅,房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁,3室,122.0,653,48000
尊悦日坛,商业类,朝阳,朝阳门外,日坛北路19号,1室,45.0,288,66000
天恒摩墅,低密住宅,房山,房山其它,周口店镇政府东200米,3室,140.0,260,19000
鲁能·格拉斯小镇,低密住宅,通州,通州其它,北京市通州区宋庄镇格拉斯小镇营销中心,3室,246.0,1400,62000
兴创荣墅,低密住宅,大兴,大兴新机场洋房别墅区,北京市大兴区育胜街,3室,188.0,430,25000
温哥华森林,低密住宅,昌平,北七家,"北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东, 枫树家园6区, 枫树家园五区",3室,267.0,1200,43000
丽都壹号,住宅,朝阳,酒仙桥,"将台路与驼房营路交叉口向北150米, 将府家园北里",4室,61.0,1674,78000
北辰墅院1900,住宅,顺义,马坡,顺兴街11号院望尊园,,83.0,350,32000
金辰府,住宅,昌平,北七家,北京市昌平区北七家镇政府东南100米,3室,89.0,410,51000
京贸国际城·峰景,住宅,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,1室,69.0,460,68000
龙湖熙湖悦著,住宅,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,3室,65.0,250,23000
建邦·顺颐府,住宅,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89.0,480,55583
葛洲坝中国府,住宅,丰台,玉泉营,北京市丰台东路46号,3室,168.0,2200,125000
华萃西山,低密住宅,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,3室,135.0,650,48000
北京东湾,住宅,通州,万达,通惠北路98号,1室,58.0,410,68500
中铁诺德阅墅,低密住宅,顺义,中央别墅区,顺义区后沙峪镇裕园路762乡龙湖滟澜山对面,4室,235.0,1150,50000
懋源·璟岳,低密住宅,丰台,玉泉营,南三环西路99号院,4室,300.0,6500,140000
合景泰富天汇,住宅,顺义,马坡,顺义区昌金路与通顺路交汇处,2室,70.0,190,29000
水岸雁栖,住宅,怀柔,怀柔,北京市怀柔区雁栖镇顶秀美泉小镇A区北侧50米,3室,56.0,385,36800
观唐云鼎,低密住宅,密云,溪翁庄镇,溪翁庄镇密溪路39号院（云佛山度假村对面）,3室,346.0,1068,30000
檀香府,住宅,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,124.0,530,42000
和棠瑞著,低密住宅,平谷,平谷其它,金海湖景区坝前广场西侧500米,3室,305.0,530,16000
尊悦光华,住宅,朝阳,CBD,北京市朝阳区光华东里甲1号院3号楼,3室,133.0,1700,150000
华萃西山,住宅,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,3室,115.0,488,42000
京西悦府,低密住宅,房山,阎村,北京市房山区燕房线阎村地铁站东南角约189米,3室,162.0,520,38000
中粮天恒天悦壹号,低密住宅,丰台,新宫,南四环地铁新宫站南500米,4室,220.0,2000,80000
京投发展·锦悦府,住宅,密云,鼓楼街道,檀营乡檀东路西侧,3室,90.0,220,25607
京投发展·锦悦府,低密住宅,密云,鼓楼街道,檀营乡檀东路西侧,3室,187.0,400,25000
万科弗农小镇,低密住宅,密云,溪翁庄镇,北京市密云区密云水库南行1公里,3室,140.0,350,25000
